catalog,id,label,line,new_design_status,source_sha256,expression_in_source,scope,destination,null_zero_rule,visual_status
getDashboardWidgetCatalog,bank_monthly_payment,החזר בנק בחודש,6146,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,bankMonthly || null,משתמש וחודש נבחר,HOME_METRICS,"SAFE. Rendered via formatMetricValue(item.value) at line 6663 (verified), which returns '—' for value==null (line 3981). Expression is now 'bankMonthly || null' where bankMonthly=getLoanScheduleEntryForSheet(sheet)?.total||0; when debt tracking off or no loan entry it becomes 0 then || coerces to null -> renders '—', never ₪0. Distinguishes no-data from zero correctly.",NEEDS_FRAME_AND_STATES
getDashboardWidgetCatalog,father_monthly_payment,החזר לאבא בחודש,6147,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,fatherMonthly || null,משתמש וחודש נבחר,HOME_METRICS,"SAFE. Rendered via formatMetricValue at 6663 (guards null->'—', line 3981). Expression 'fatherMonthly || null': getFatherRepaymentTotal returns a number (reduce from 0); when 0 the || yields null -> '—'. Note the || null design deliberately shows '—' even for a genuine 0 (no repayment that month reads the same as no data); acceptable but worth a design note.",NEEDS_FRAME_AND_STATES
getDashboardWidgetCatalog,total_monthly_debt,סך תשלומי חוב בחודש,6148,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,(bankMonthly || 0) + (fatherMonthly || 0) || null,משתמש וחודש נבחר,HOME_METRICS,"SAFE. Rendered via formatMetricValue at 6663 (guards null->'—'). Expression '(bankMonthly||0)+(fatherMonthly||0) || null': sums two numbers, and a total of 0 collapses to null -> '—'. Never silently shows ₪0 for an uncomputable total.",NEEDS_FRAME_AND_STATES
getDashboardWidgetCatalog,total_debt_remaining,סך חובות פתוחים,6149,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,totalDebtRemaining || null,משתמש / יתרות נכון להיום; תנאי מעקב חוב,HOME_METRICS,"SAFE. Rendered via formatMetricValue at 6663 (guards null->'—'). Expression 'totalDebtRemaining || null'; totalDebtRemaining is Math.max(0,...) so always a number when debt on, and 0 -> null -> '—'. Widget only exists when isDebtTrackingEnabled().",NEEDS_FRAME_AND_STATES
getDashboardWidgetCatalog,fixed,קבועות בגיליון,6152,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,stats.fixed,משתמש וחודש נבחר,HOME_METRICS,"SAFE. Rendered via formatMetricValue at 6663 (guards null->'—'). Value=stats.fixed from getExpenseStats (line 5924) which is a reduce seeded at 0 -> always a finite number, never null/NaN. Renders ₪0 for a genuine zero, which is correct here (zero fixed expenses IS zero, not unknown).",NEEDS_FRAME_AND_STATES
getDashboardWidgetCatalog,variable,משתנות בגיליון,6153,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,stats.variable,משתמש וחודש נבחר,HOME_METRICS,"SAFE. formatMetricValue at 6663. Value=stats.variable from getExpenseStats reduce seeded 0 (line 5925) -> always a number. ₪0 is a true zero, not unknown; correct.",NEEDS_FRAME_AND_STATES
getDashboardWidgetCatalog,income,הכנסות,6154,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,income,משתמש וחודש נבחר,HOME_METRICS,"SAFE. formatMetricValue at 6663. Value=getIncomeTotal(sheet) (line 5046-5048) = reduce from 0 -> always a number, never null. ₪0 correctly means no income recorded (a true zero), which for a monthly sheet is meaningful.",NEEDS_FRAME_AND_STATES
getDashboardWidgetCatalog,monthly_balance,מאזן חודשי,6155,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,monthlyBalance,משתמש וחודש נבחר,HOME_METRICS,"SAFE. formatMetricValue at 6663. Value=monthlyBalance=income-stats.total-bankMonthly (line 6115); all three operands are always numbers, so result is always finite -> never null. ₪0 is a true zero. NOTE: unlike closing_balance this does NOT propagate the opening-balance null, so a month with unknown opening still shows a numeric monthly delta.",NEEDS_FRAME_AND_STATES
getDashboardWidgetCatalog,immediate,מיידי,6156,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,stats.immediate,משתמש וחודש נבחר,HOME_METRICS,SAFE. formatMetricValue at 6663. Value=stats.immediate from getExpenseStats reduce seeded 0 (line 5926) -> always a number. ₪0 is a true zero.,NEEDS_FRAME_AND_STATES
getDashboardWidgetCatalog,transfers,העברות בנקאיות,6157,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,stats.transfers,משתמש וחודש נבחר,HOME_METRICS,SAFE. formatMetricValue at 6663. Value=stats.transfers from getExpenseStats reduce seeded 0 (line 5927) -> always a number. ₪0 is a true zero.,NEEDS_FRAME_AND_STATES
